id,name,shortName,abbreviation,teamType,location,website,parentLeague,establishedDate,disbandedDate,genus,domain
"4664","Hustlers","","","Home Team","","","3408","","","Womens","USA"
"4658","Hell Marys","","","Home Team","","","3408","","","Womens","USA"
"4662","Hotrod Honeys","","","Home Team","","","3408","","","Womens","USA"
"4663","Honky Tonk Heartbreakers","","","Home Team","","","3408","","","Womens","USA"
"8687","Bruisers","","","Home Team","","http://arizonaderbygirls.com/photos/teams/81.html","3399","","2014-04-27","Womens","USA"
"8688","Smash Squad","","","Home Team","","http://arizonaderbygirls.com/photos/teams/66.html","3399","","2012-01-01","Womens","USA"
"8700","Furious Truckstop Waitresses","","","Home Team","","http://tucsonrollerderby.com/teams.php?id=1","3398","","","Womens","USA"
"8701","French Kiss Army","","","Home Team","","","3399","","2005-01-01","Womens","USA"
"8706","Iron Curtain","","","Home Team","","http://tucsonrollerderby.com/teams.php?id=2","3398","","2011-01-01","Womens","USA"
"3399","Arizona Roller Derby","Arizona","AZRD","Travel Team","Phoenix, AZ","https://arizonarollerderby.com/","","","","Womens","USA"
"8709","TXRG Blue","","","Home Team","","","3408","","2005-01-01","Womens","USA"
"3398","Tucson Roller Derby","Tucson","TRD","Travel Team","Tucson, AZ","http://www.tucsonrollerderby.com/","","","","Womens","USA"
"8711","TXRG Red","","","Home Team","","","3408","","2005-01-01","Womens","USA"
